eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,total_timesteps,value_loss
723.92,1676.42,5.960464477539063e-08,1669,15000,0.6332781314849854,-0.1546037346124649,7200000,50.0009765625
831.7,1775.29,5.960464477539063e-08,1670,15100,0.9336613416671753,0.7092282772064209,7248000,25.8005313873291
832.4,1796.48,-1.1920928955078125e-07,1671,15200,1.4546360969543457,-0.6483802795410156,7296000,21.548011779785156
826.42,1837.1,0.0,1672,15300,1.421027421951294,0.5770478844642639,7344000,24.612865447998047
824.25,1687.02,5.960464477539063e-08,1673,15400,0.869907021522522,1.6864829063415527,7392000,25.01528549194336
705.7,1688.2,0.0,1674,15500,0.7017327547073364,-0.08567341417074203,7440000,52.18846893310547
679.45,1626.46,0.0,1675,15600,0.3661087155342102,0.20572152733802795,7488000,25.610774993896484
710.19,1657.9,-1.1920928955078125e-07,1676,15700,1.1269863843917847,-0.9046449065208435,7536000,21.400135040283203
413.76,831.07,-1.1920928955078125e-07,1677,15800,0.019482523202896118,0.0791025161743164,7584000,14.118582725524902
663.14,1262.15,0.0,1678,15900,0.7423465251922607,-0.3610377013683319,7632000,21.323232650756836
515.82,1147.99,0.0,1679,16000,0.7884684205055237,-0.3052361011505127,7680000,54.634483337402344
552.39,1524.63,0.0,1680,16100,1.5188044309616089,0.062260702252388,7728000,32.62553787231445
597.84,1659.0,0.0,1680,16200,1.063895344734192,2.3037281036376953,7776000,30.828290939331055
596.52,1658.46,1.1920928955078125e-07,1680,16300,1.3631935119628906,-1.0404887199401855,7824000,15.333598136901855
749.91,1673.86,0.0,1681,16400,1.1285001039505005,1.0830930471420288,7872000,29.558115005493164
701.18,1559.99,1.1920928955078125e-07,1681,16500,1.5861085653305054,0.9388905167579651,7920000,35.50442123413086
806.63,1711.82,0.0,1681,16600,1.1600948572158813,-5.207590103149414,7968000,79.42012786865234
885.45,1831.31,0.0,1682,16700,1.473046064376831,2.804617404937744,8016000,27.147743225097656
846.6,1870.6,5.960464477539063e-08,1682,16800,1.3561937808990479,-0.685886025428772,8064000,52.713279724121094
891.67,1877.57,5.960464477539063e-08,1682,16900,2.1016080379486084,-0.4920654594898224,8112000,49.6044921875
784.51,1809.98,5.960464477539063e-08,1682,17000,1.0288718938827515,0.23411670327186584,8160000,25.45469856262207
661.6,1725.77,0.0,1683,17100,0.6208391785621643,-0.6518943309783936,8208000,32.470638275146484
692.86,1634.01,0.0,1683,17200,2.2116243839263916,0.4072546362876892,8256000,59.4142951965332
802.05,1706.53,1.1920928955078125e-07,1683,17300,0.46957966685295105,0.6465446352958679,8304000,20.957380294799805
598.74,1267.32,0.0,1684,17400,1.8252239227294922,0.15932214260101318,8352000,19.314857482910156
634.29,1640.82,-1.1920928955078125e-07,1684,17500,1.035017967224121,1.4635798931121826,8400000,25.797863006591797
596.32,1539.15,0.0,1684,17600,2.397350311279297,3.967341423034668,8448000,26.3826904296875
684.73,1525.28,0.0,1684,17700,0.9507695436477661,-1.2532598972320557,8496000,62.054710388183594
715.43,1606.78,0.0,1685,17800,0.9408922791481018,0.36655810475349426,8544000,24.9410400390625
670.97,1560.91,0.0,1685,17900,0.6572576761245728,-0.11951199918985367,8592000,23.213258743286133
720.94,1598.65,0.0,1685,18000,1.6158419847488403,1.26100754737854,8640000,21.6898136138916
837.04,1743.75,0.0,1686,18100,2.4981420040130615,-0.29123708605766296,8688000,19.07177734375
964.39,1798.06,0.0,1686,18200,2.4602293968200684,1.0882887840270996,8736000,23.843955993652344
971.62,1882.91,-1.1920928955078125e-07,1686,18300,1.4281595945358276,2.112920045852661,8784000,30.483285903930664
878.2,1815.32,0.0,1686,18400,2.4192991256713867,-0.7535101175308228,8832000,20.57891845703125
746.43,1717.39,5.960464477539063e-08,1687,18500,1.9999425411224365,-1.012472152709961,8880000,53.93587112426758
638.2,1640.74,0.0,1688,18600,1.7275104522705078,-1.5656166076660156,8928000,45.90126037597656
552.14,1542.41,0.0,1689,18700,2.0824263095855713,5.4702277183532715,8976000,31.330785751342773
611.7,1627.69,0.0,1690,18800,1.8524781465530396,-3.7026002407073975,9024000,80.62074279785156
671.02,1521.65,0.0,1690,18900,0.9086049795150757,0.8174790740013123,9072000,24.259326934814453
656.2,1523.01,-1.1920928955078125e-07,1691,19000,0.6568025350570679,0.2661161720752716,9120000,24.72569465637207
688.36,1707.68,-1.1920928955078125e-07,1692,19100,0.9308840036392212,-1.1544561386108398,9168000,81.68976593017578
716.75,1710.07,0.0,1693,19200,1.8393456935882568,2.7738289833068848,9216000,55.52256774902344
710.25,1709.02,-1.1920928955078125e-07,1693,19300,1.5678505897521973,2.902407169342041,9264000,26.21600341796875
588.77,1581.39,0.0,1694,19400,1.3102478981018066,-1.2901365756988525,9312000,79.38964080810547
679.55,1693.75,1.1920928955078125e-07,1694,19500,1.200027346611023,1.097425103187561,9360000,28.50547218322754
777.79,1776.88,0.0,1694,19600,1.7896054983139038,-1.126612663269043,9408000,51.55763244628906
703.9,1749.79,1.7881393432617188e-07,1694,19700,0.8620581030845642,-0.4058474898338318,9456000,86.2728271484375
649.41,1693.17,1.1920928955078125e-07,1695,19800,0.2975287139415741,0.0779554694890976,9504000,8.321409225463867
901.07,1800.14,0.0,1695,19900,0.8605184555053711,0.5383316874504089,9552000,22.667675018310547
587.45,1715.07,5.960464477539063e-08,1695,20000,0.5980430841445923,-1.1211860179901123,9600000,59.39722442626953
613.78,1644.61,0.0,1695,20100,2.03287672996521,1.269087314605713,9648000,20.212331771850586
673.65,1655.42,-1.1920928955078125e-07,1695,20200,1.3317185640335083,1.566701889038086,9696000,29.25172996520996
733.68,1506.73,0.0,1695,20300,1.7872065305709839,-0.22719208896160126,9744000,22.744537353515625
652.72,1581.74,1.1920928955078125e-07,1696,20400,1.982236623764038,-3.6711173057556152,9792000,83.71928405761719
757.28,1662.48,0.0,1696,20500,1.7733269929885864,0.1125134602189064,9840000,24.983190536499023
784.29,1731.08,0.0,1696,20600,1.112094521522522,-1.9343429803848267,9888000,48.120262145996094
558.11,1458.3,0.0,1696,20700,1.5263895988464355,2.621889114379883,9936000,26.20467758178711
650.33,1648.4,0.0,1696,20800,1.5754319429397583,0.2966602146625519,9984000,24.517784118652344
