absolute time,reward,time,,
1596257625.465,311.000,12.636,,
1596257625.508,312.000,12.679,,
1596257625.523,313.000,12.694,,
1596257625.536,314.000,12.706,,
1596257625.597,315.000,12.768,,
1596257625.627,316.000,12.798,,
1596257625.645,317.000,12.815,,
1596257625.656,318.000,12.827,,
1596257625.684,319.000,12.855,,
1596257625.698,320.000,12.869,,
1596257625.741,321.000,12.912,,
1596257625.752,322.000,12.923,,
1596257625.763,323.000,12.934,,
1596257625.791,324.000,12.962,,
1596257625.817,325.000,12.987,,
1596257625.827,326.000,12.998,,
1596257625.848,327.000,13.018,,
1596257625.860,328.000,13.030,,
1596257625.871,329.000,13.041,,
1596257625.889,330.000,13.060,,
1596257625.922,331.000,13.093,,
1596257625.942,332.000,13.113,,
1596257625.959,333.000,13.130,,
1596257625.975,334.000,13.146,,
1596257626.003,335.000,13.174,,
1596257626.015,336.000,13.185,,
1596257626.029,337.000,13.200,,
1596257626.043,338.000,13.214,,
1596257626.055,339.000,13.226,,
1596257626.072,339.000,13.242,,
1596257626.084,339.000,13.255,,
1596257626.108,339.000,13.279,,
1596257626.136,340.000,13.306,,
1596257626.153,340.000,13.323,,
1596257626.170,340.000,13.341,,
1596257626.225,340.000,13.396,,
1596257626.251,340.000,13.422,,
1596257626.266,340.000,13.436,,
1596257626.277,340.000,13.448,,
1596257626.292,340.000,13.463,,
1596257626.309,340.000,13.480,,
1596257626.325,340.000,13.496,,
1596257626.344,340.000,13.514,,
1596257626.355,340.000,13.525,,
1596257626.378,340.000,13.549,,
1596257626.396,340.000,13.566,,
1596257626.412,340.000,13.583,,
1596257626.423,340.000,13.594,,
1596257626.486,340.000,13.657,,
1596257626.513,341.000,13.683,,
1596257626.522,342.000,13.693,,
1596257626.546,343.000,13.717,,
1596257626.561,344.000,13.731,,
1596257626.572,345.000,13.743,,
1596257626.600,346.000,13.770,,
1596257626.666,347.000,13.837,,
1596257626.692,348.000,13.862,,
1596257626.706,349.000,13.877,,
1596257626.732,350.000,13.903,,
1596257626.759,351.000,13.930,,
1596257626.812,352.000,13.983,,
