eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,total_timesteps
1068.69,1975.04,1311,0.0010105546,0.034261066,2.9211404,-0.0021710517,24.557854,0.7567039728164673,1916,245248,4480.9445144,5885952
1045.01,1949.85,1249,0.0012320799,0.075520836,2.9395294,-0.0022864675,23.587292,0.8397846519947052,1917,245376,4483.4028669,5889024
1015.3,1934.21,1338,0.0011900314,0.07332357,2.916024,-0.0027512596,17.345861,0.8195289224386215,1918,245504,4485.6982432,5892096
1010.15,1922.61,1327,0.0011790671,0.07267252,2.9084213,-0.0015482641,17.449604,0.8166507929563522,1919,245632,4488.0127571,5895168
1007.43,1899.61,1280,0.0010600385,0.046793617,2.9035578,-0.00045252455,26.753992,0.7624687403440475,1920,245760,4490.4124595,5898240
988.46,1855.18,1347,0.0010982349,0.056722004,2.9309387,-0.0025073462,23.07065,0.7498030662536621,1921,245888,4492.6924101,5901312
978.24,1829.86,1312,0.0036675313,0.2117513,2.9479315,-0.00015155274,25.532413,0.7370362877845764,1922,246016,4495.0337838,5904384
978.14,1834.25,1253,0.0008539392,0.03857422,2.9346585,-0.0011921437,16.753714,0.8038610070943832,1923,246144,4497.4849462,5907456
971.45,1815.95,1285,0.00087296974,0.05021159,2.9289615,-0.0011313478,25.637363,0.7497555613517761,1924,246272,4499.8760619,5910528
974.46,1823.49,1304,0.0016115451,0.08406576,2.946231,-0.0035701962,18.330845,0.8198615312576294,1925,246400,4502.2324723,5913600
967.44,1798.63,1335,0.0020089434,0.13411458,2.9516547,0.00041953672,17.19305,0.8020542860031128,1926,246528,4504.5328868,5916672
970.69,1802.64,1247,0.0021350405,0.13476561,2.9231634,-0.0019773054,13.770587,0.855366662144661,1927,246656,4506.9968843999995,5919744
987.94,1818.05,1321,0.0033261373,0.16772461,2.9477837,0.0013202052,15.394639,0.866070494055748,1928,246784,4509.3221174,5922816
988.91,1819.23,1325,0.0017174664,0.106689446,2.935123,-0.0017828286,12.807242,0.8482118099927902,1929,246912,4511.6408564,5925888
985.75,1805.27,1224,0.0018526498,0.10913085,2.9215577,-0.0013108697,19.075527,0.7734439224004745,1930,247040,4514.1496211,5928960
975.53,1840.0,1309,0.0012887839,0.052815754,2.916837,-0.0015645059,26.118093,0.8403931558132172,1931,247168,4516.4958198,5932032
957.09,1847.31,1308,0.0008158347,0.036865234,2.9300375,-0.002338264,18.23704,0.8438738733530045,1932,247296,4518.8442373,5935104
956.6,1842.97,1291,0.0010514966,0.050374348,2.9194393,-0.0010589766,15.471827,0.8562010079622269,1933,247424,4521.2225884,5938176
939.4,1857.94,1318,0.0017955577,0.10888672,2.8878884,-0.0006633801,15.090794,0.8836646005511284,1934,247552,4523.5530875,5941248
931.56,1843.79,1322,0.0018942829,0.13330078,2.8775969,-0.0014877209,20.232325,0.8534709960222244,1935,247680,4525.8762073,5944320
933.44,1837.7,1284,0.0004388408,0.0074055996,2.8868542,-0.0014341028,19.886444,0.8763970956206322,1936,247808,4528.268763,5947392
930.4,1834.41,1329,0.0013089704,0.07747396,2.8976688,-0.0022445444,20.634516,0.8529038429260254,1937,247936,4530.5792879,5950464
928.41,1842.34,1271,0.0010678861,0.058186848,2.9237418,-0.0008197682,21.113693,0.8039166778326035,1938,248064,4532.9962708,5953536
929.06,1846.93,1262,0.0018619236,0.11442058,2.9056041,-0.0011704023,12.087826,0.9071302488446236,1939,248192,4535.4294901,5956608
935.89,1862.31,1294,0.001119655,0.06323242,2.9156368,-0.0021528532,22.870405,0.8218611627817154,1940,248320,4537.8039149,5959680
936.84,1874.19,1350,0.0023538177,0.15568033,2.9007936,-0.0009509168,26.09773,0.8356945365667343,1941,248448,4540.0796235,5962752
900.63,1832.98,1277,0.0021142126,0.16438803,2.9173825,-0.0019817064,21.42325,0.871972382068634,1942,248576,4542.4850674,5965824
903.95,1858.71,1264,0.001030385,0.06404623,2.9366062,-0.001792126,17.334219,0.8836822286248207,1943,248704,4544.9143224,5968896
902.53,1863.54,1266,0.0011176146,0.056152347,2.925728,-0.00013650187,17.912031,0.895600438117981,1944,248832,4547.3403107,5971968
901.05,1859.7,1359,0.0011413299,0.05102539,2.927339,-0.0018074103,22.880627,0.8545399904251099,1945,248960,4549.6004971,5975040
899.76,1856.73,1371,0.0011357487,0.060953774,2.9186487,-0.0013438774,19.25387,0.8792928382754326,1946,249088,4551.8411915,5978112
896.23,1857.92,1343,0.0016678129,0.09366862,2.9399903,-0.0024834278,18.549145,0.8769144788384438,1947,249216,4554.1285417,5981184
891.33,1853.69,1343,0.0009818082,0.05753581,2.9558096,-0.0025090391,18.772278,0.8571576178073883,1948,249344,4556.4160267,5984256
890.26,1870.23,1360,0.001345947,0.069742836,2.9515948,-0.0015446533,18.741848,0.8812899887561798,1949,249472,4558.6749078,5987328
903.31,1895.8,1277,0.0010920122,0.061523438,2.9405575,-0.0019751366,18.924633,0.8398527055978775,1950,249600,4561.0809672,5990400
918.59,1922.3,1342,0.001884616,0.11002604,2.9809356,-0.0010724764,20.420092,0.8145046681165695,1951,249728,4563.3706899,5993472
940.91,1927.84,1256,0.0021650502,0.14485678,2.96196,-0.0004391579,22.364502,0.8304526209831238,1952,249856,4565.8157643,5996544
941.24,1924.93,1245,0.00220731,0.13411458,2.9627776,-0.0013732299,24.963726,0.7284113764762878,1953,249984,4568.2826189,5999616
943.66,1928.07,1260,0.0017564141,0.12231446,2.9551847,-0.0011569413,20.98147,0.7949205935001373,1954,250112,4570.7197398,6002688
947.43,1944.9,1279,0.002198919,0.12361653,2.9523273,-0.0020217935,27.834187,0.7221450805664062,1955,250240,4573.1219707,6005760
945.84,1916.67,1327,0.00094074535,0.042480472,2.9563289,-0.0020247349,18.582947,0.8249082863330841,1956,250368,4575.4371349,6008832
952.74,1929.52,1249,0.0012342313,0.062499996,2.9627645,-0.002154343,20.99867,0.8020820766687393,1957,250496,4577.8972087,6011904
956.41,1936.7,1314,0.0012765061,0.0875651,2.9330542,-0.0029380843,20.125713,0.7978372722864151,1958,250624,4580.2344214,6014976
955.57,1942.67,1318,0.0018456563,0.123535156,2.9324071,0.00010105473,19.109726,0.8556854873895645,1959,250752,4582.5653366,6018048
955.57,1942.67,1288,0.002395515,0.14672852,2.9329119,-0.0028356614,13.312799,0.8681091070175171,1960,250880,4584.9503229,6021120
930.33,1937.98,1325,0.0021629904,0.15039062,2.9272213,-0.0008566265,20.530884,0.8508998900651932,1961,251008,4587.2683588,6024192
927.53,1937.86,1299,0.0020376071,0.11726888,2.9300303,-0.001993963,17.767683,0.844305694103241,1962,251136,4589.6325843,6027264
945.24,1953.85,1345,0.0005709196,0.013264974,2.9516184,-0.0012763445,22.470524,0.8320565074682236,1963,251264,4591.9157305,6030336
934.1,1928.0,1216,0.0021664936,0.11743163,2.9568286,-0.0010413524,22.092009,0.7986007481813431,1964,251392,4594.4418294,6033408
957.26,1962.36,1328,0.0013965964,0.07560222,2.9361434,-0.0015146862,19.63316,0.875893846154213,1965,251520,4596.7543654,6036480
954.84,1953.29,1216,0.0020073385,0.11254883,2.9582844,-0.0026010962,20.147436,0.8628738671541214,1966,251648,4599.2808027,6039552
957.68,1963.86,1280,0.0022780816,0.14127605,2.9397476,-0.0037496542,20.004345,0.8855955079197884,1967,251776,4601.679698,6042624
951.66,1954.76,1349,0.0011905445,0.06681315,2.9573088,-0.0013310885,15.260475,0.9154040366411209,1968,251904,4603.9567866,6045696
952.93,1959.18,1234,0.0011164801,0.052327476,2.9730082,-0.0014046904,15.499229,0.8989322856068611,1969,252032,4606.4466035,6048768
956.62,1967.99,1334,0.0017330372,0.107910156,2.9578462,-0.00316972,18.903772,0.8650035709142685,1970,252160,4608.7492158,6051840
971.33,2004.92,1327,0.0010658907,0.039794926,2.9294877,-0.00040578435,30.31686,0.8141441643238068,1971,252288,4611.0632913,6054912
966.17,1966.82,1321,0.001664069,0.10538737,2.9524958,-0.0031997913,21.31393,0.8436008840799332,1972,252416,4613.3888003,6057984
968.49,1968.53,1270,0.0010326395,0.04663086,2.95615,-0.0009800125,17.691126,0.892295278608799,1973,252544,4615.8066622,6061056
968.49,1968.53,1311,0.0017478042,0.11124674,2.9503553,-0.0017058093,10.85744,0.9196528419852257,1974,252672,4618.1494782,6064128
971.76,1976.06,1323,0.0007227063,0.027262371,2.9514556,-0.001010491,22.308674,0.8352353721857071,1975,252800,4620.4707277,6067200
975.59,1985.49,1310,0.0010304252,0.062011722,2.9656737,-0.002203713,18.460144,0.8684165775775909,1976,252928,4622.8151086,6070272
976.74,1987.29,1350,0.0047123944,0.3100586,2.962667,0.0018758544,14.469057,0.9067349955439568,1977,253056,4625.0896562,6073344
980.97,1977.69,1337,0.001753935,0.104166664,2.9611719,-0.0018573158,12.39674,0.9244676902890205,1978,253184,4627.3870332,6076416
1014.4,2000.61,1330,0.0012293833,0.07796224,2.9897616,-0.0020071776,21.645977,0.885072834789753,1979,253312,4629.696223,6079488
1009.83,1991.17,1342,0.00068157486,0.030517578,3.00419,-0.0017517911,20.463604,0.8684507757425308,1980,253440,4631.9852937,6082560
1043.68,2021.26,1255,0.0025227254,0.18554688,3.0182643,-0.0013578137,17.8124,0.8983899652957916,1981,253568,4634.4336049,6085632
1078.12,2036.45,1304,0.0017270048,0.10546875,3.0220418,-0.0018572402,15.803867,0.9010432660579681,1982,253696,4636.7897759,6088704
1085.2,2049.64,1324,0.002660688,0.1628418,3.0190978,-0.0010290341,13.477708,0.9004429057240486,1983,253824,4639.10991,6091776
1084.96,2054.15,1209,0.00106863,0.05354818,3.0042746,-0.0020795346,19.477184,0.8838166669011116,1984,253952,4641.6510278,6094848
1069.31,2018.44,1255,0.0013600829,0.08194987,2.9911509,-0.0016841262,17.908442,0.9162567853927612,1985,254080,4644.0979665,6097920
1055.58,2004.11,1326,0.0010809571,0.057128906,2.9976635,-0.0019028792,19.18932,0.8949211984872818,1986,254208,4646.4142646,6100992
1056.76,1996.01,1337,0.0012799077,0.075927734,2.9719949,-0.0018639078,19.75482,0.8860132098197937,1987,254336,4648.7121259,6104064
1054.58,2018.9,1329,0.0009357889,0.032226562,2.9812448,-0.0014913104,20.7504,0.8988788425922394,1988,254464,4651.0240437,6107136
1071.39,2012.1,1332,0.0012048178,0.08333333,3.003421,-0.0018630958,19.821466,0.91768928617239,1989,254592,4653.3306069,6110208
1070.18,2010.88,1340,0.0010546817,0.059895832,3.018179,-0.0023734374,12.111239,0.9416742511093616,1990,254720,4655.6226842,6113280
1069.02,2004.84,1300,0.00092555094,0.03629557,3.0114484,-0.0010859336,15.724748,0.9285132363438606,1991,254848,4657.9861902,6116352
1061.85,1998.53,1345,0.0009812802,0.035237633,3.0035126,-0.0020396062,21.33219,0.922046609222889,1992,254976,4660.2701488,6119424
1056.17,1988.12,1346,0.0008863927,0.03849284,3.0109322,-0.0011070147,19.288942,0.9206975027918816,1993,255104,4662.5514163,6122496
1074.06,1983.66,1348,0.0005163803,0.008138021,3.004852,-0.0015846692,14.955898,0.9461246244609356,1994,255232,4664.8294684,6125568
1073.97,1988.34,1333,0.0019849683,0.09025065,2.9838524,8.8169065e-05,17.43287,0.9330670982599258,1995,255360,4667.1342766,6128640
1075.18,1989.95,1304,0.001670643,0.10367838,2.976058,-0.0012899986,14.774175,0.9477621167898178,1996,255488,4669.490317,6131712
1073.25,1981.18,1346,0.0011030843,0.054524742,2.9584417,-0.0027112155,18.077988,0.9332957342267036,1997,255616,4671.773154,6134784
1074.4,1973.45,1302,0.0013824194,0.06868489,2.9779568,-0.0016280303,22.768467,0.9206848368048668,1998,255744,4674.1326427,6137856
1055.6,1966.13,1319,0.0012282997,0.071777344,2.9956534,-0.002753762,17.038496,0.9302572757005692,1999,255872,4676.4609344,6140928
1056.53,1976.39,1328,0.00046233964,0.016438803,2.9947388,-4.9350623e-05,13.754545,0.954068835824728,2000,256000,4678.7739283,6144000
1050.53,1952.12,1322,0.0010886821,0.04638672,3.0121298,-0.0022873483,15.50647,0.9448050782084465,2001,256128,4681.0970191,6147072
1047.67,1951.15,1318,0.0017356216,0.108072914,3.0242107,-0.001352851,13.417815,0.938644390553236,2002,256256,4683.4276332,6150144
1050.65,1944.16,1332,0.00083114917,0.033691406,3.0247667,-0.0016580716,15.228975,0.9474089927971363,2003,256384,4685.7332257,6153216
1064.53,1933.57,1291,0.0010863312,0.050781246,3.029682,-0.001179365,19.845379,0.8996874317526817,2004,256512,4688.111832,6156288
